"Inicio del informe","Fin del informe","Nombre de la campaña",Plataforma,Ubicación,"Plataforma de dispositivos","Entrega de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Impresiones,Alcance,"Clics (todos)","Clics en el enlace","CTR único (porcentaje de clics en el enlace)","CPC (costo por clic en el enlace) (COP)",Resultados,"Indicador de resultado","Costo por resultados",Finalización,"Configuración de atribución","CPM (costo por mil impresiones) (COP)","ROAS (retorno de la inversión en publicidad) de compras",Frecuencia,Compras
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25","Audience Network","Nativo, banner e intersticial","En la app",active,"Con el presupuesto del conjunto de anuncios",0,27,5,5,0,,0,,1,video_thruplay_watched_actions,27.00069193,"En curso","7 días tras clic o 1 día tras visualización",5400.138386,,1,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25","Audience Network","Video con premio","En la app",active,"Con el presupuesto del conjunto de anuncios",0,191076,29425,6347,0,,0,,28373,video_thruplay_watched_actions,6.73442698,"En curso","7 días tras clic o 1 día tras visualización",6493.658338,,4.636049,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Facebook,"Facebook Reels","En la app",active,"Con el presupuesto del conjunto de anuncios",0,509,408,357,2,,0,,52,video_thruplay_watched_actions,9.78871239,"En curso","7 días tras clic o 1 día tras visualización",1247.580991,,1.142857,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Facebook,"Facebook Reels","Web móvil",active,"Con el presupuesto del conjunto de anuncios",0,15,8,5,0,,0,,1,video_thruplay_watched_actions,15.00038441,"En curso","7 días tras clic o 1 día tras visualización",1875.048051,,1.6,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Facebook,"Anuncios en Facebook Reels","En la app",active,"Con el presupuesto del conjunto de anuncios",0,631,289,243,0,,0,,83,video_thruplay_watched_actions,7.60260447,"En curso","7 días tras clic o 1 día tras visualización",2183.446957,,1.1893,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Facebook,"Facebook Stories","En la app",active,"Con el presupuesto del conjunto de anuncios",0,2107,967,819,0,,0,,262,video_thruplay_watched_actions,8.04219083,"En curso","7 días tras clic o 1 día tras visualización",2178.959665,,1.180708,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Facebook,Feed,Computadora,active,"Con el presupuesto del conjunto de anuncios",0,0,1,1,0,,0,,,,,"En curso","7 días tras clic o 1 día tras visualización",0,,1,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Facebook,Feed,"En la app",active,"Con el presupuesto del conjunto de anuncios",0,165,102,93,2,,0,,14,video_thruplay_watched_actions,11.78601632,"En curso","7 días tras clic o 1 día tras visualización",1617.688514,,1.096774,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Facebook,Feed,"Web móvil",active,"Con el presupuesto del conjunto de anuncios",0,5,2,1,0,,0,,,,,"En curso","7 días tras clic o 1 día tras visualización",2500.064068,,2,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Facebook,"Reels instream",Computadora,active,"Con el presupuesto del conjunto de anuncios",0,1101,304,245,0,,0,,194,video_thruplay_watched_actions,5.67540317,"En curso","7 días tras clic o 1 día tras visualización",3621.80334,,1.240816,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Facebook,"Reels instream","En la app",active,"Con el presupuesto del conjunto de anuncios",0,376669,84829,68068,259,1,0.001469,376668.652659,61384,video_thruplay_watched_actions,6.13626764,"En curso","7 días tras clic o 1 día tras visualización",4440.32881,,1.246239,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Facebook,Marketplace,Computadora,active,"Con el presupuesto del conjunto de anuncios",0,4429,3408,1493,0,,0,,591,video_thruplay_watched_actions,7.49426989,"En curso","7 días tras clic o 1 día tras visualización",1299.622507,,2.282652,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Facebook,Marketplace,"En la app",active,"Con el presupuesto del conjunto de anuncios",0,871,831,577,3,,0,,99,video_thruplay_watched_actions,8.79820526,"En curso","7 días tras clic o 1 día tras visualización",1048.161638,,1.440208,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Facebook,"Resultados de búsqueda",Computadora,active,"Con el presupuesto del conjunto de anuncios",0,1,1,1,0,,0,,,,,"En curso","7 días tras clic o 1 día tras visualización",1000.025627,,1,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Facebook,"Resultados de búsqueda","En la app",active,"Con el presupuesto del conjunto de anuncios",0,7434,8205,5167,17,7,0.135475,1062.027216,1056,video_thruplay_watched_actions,7.03995314,"En curso","7 días tras clic o 1 día tras visualización",906.056126,,1.587962,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Instagram,Feed,Computadora,active,"Con el presupuesto del conjunto de anuncios",0,5,3,3,0,,0,,1,video_thruplay_watched_actions,5.00012814,"En curso","7 días tras clic o 1 día tras visualización",1666.709378,,1,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Instagram,Feed,"En la app",active,"Con el presupuesto del conjunto de anuncios",0,0,1,1,0,,0,,,,,"En curso","7 días tras clic o 1 día tras visualización",0,,1,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Instagram,"Inicio de la sección ""Explorar""","En la app",active,"Con el presupuesto del conjunto de anuncios",0,4,4,4,0,,0,,,,,"En curso","7 días tras clic o 1 día tras visualización",1000.025627,,1,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Instagram,"Instagram Reels","En la app",active,"Con el presupuesto del conjunto de anuncios",0,6,5,5,0,,0,,2,video_thruplay_watched_actions,3.00007688,"En curso","7 días tras clic o 1 día tras visualización",1200.030752,,1,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Instagram,"Instagram Stories","En la app",active,"Con el presupuesto del conjunto de anuncios",0,130,26,20,0,,0,,15,video_thruplay_watched_actions,8.66688877,"En curso","7 días tras clic o 1 día tras visualización",5000.128135,,1.3,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",Messenger,"Messenger Stories","En la app",active,"Con el presupuesto del conjunto de anuncios",0,149,547,547,1,1,0.182815,149.003818,32,video_thruplay_watched_actions,4.65636933,"En curso","7 días tras clic o 1 día tras visualización",272.401862,,1,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",Facebook,"Facebook Reels","En la app",inactive,"Con el presupuesto del conjunto de anuncios",0,9259,1409,998,174,3,0.300601,3086.464007,3,profile_visit_view,3086.46400694,"En curso","7 días tras clic o 1 día tras visualización",6571.605409,,1.411824,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",Facebook,"Facebook Stories","En la app",inactive,"Con el presupuesto del conjunto de anuncios",0,5901,538,417,34,22,4.556355,268.238629,26,profile_visit_view,226.97114788,"En curso","7 días tras clic o 1 día tras visualización",10968.865883,,1.290168,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",Facebook,Feed,"En la app",inactive,"Con el presupuesto del conjunto de anuncios",0,1669,145,128,8,1,0.78125,1669.070665,1,profile_visit_view,1669.07066452,"En curso","7 días tras clic o 1 día tras visualización",11510.832169,,1.132813,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",Instagram,Feed,"En la app",inactive,"Con el presupuesto del conjunto de anuncios",0,38592,3519,2883,142,143,4.890739,269.871566,143,profile_visit_view,269.87156559,"En curso","7 días tras clic o 1 día tras visualización",10966.647877,,1.220604,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",Instagram,Explorar,"En la app",inactive,"Con el presupuesto del conjunto de anuncios",0,378,50,41,1,1,2.439024,378.016004,1,profile_visit_view,378.01600431,"En curso","7 días tras clic o 1 día tras visualización",7560.320086,,1.219512,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",Instagram,"Inicio de la sección ""Explorar""","En la app",inactive,"Con el presupuesto del conjunto de anuncios",0,42,45,39,0,,0,,,,,"En curso","7 días tras clic o 1 día tras visualización",933.37285,,1.153846,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",Instagram,"Instagram Reels","En la app",inactive,"Con el presupuesto del conjunto de anuncios",0,209581,30492,22885,918,930,3.836574,225.355778,926,profile_visit_view,226.32923667,"En curso","7 días tras clic o 1 día tras visualización",6873.306873,,1.332401,
