"Inicio del informe","Fin del informe","Nombre de la campaña",Edad,Sexo,"Entrega de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Impresiones,Alcance,"Clics (todos)","Clics en el enlace","CTR único (porcentaje de clics en el enlace)","CPC (costo por clic en el enlace) (COP)",Resultados,"Indicador de resultado","Costo por resultados",Finalización,"Configuración de atribución","CPM (costo por mil impresiones) (COP)","ROAS (retorno de la inversión en publicidad) de compras",Frecuencia,Compras
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",18-24,female,active,"Con el presupuesto del conjunto de anuncios",0,25261,5392,3931,15,,0,,4117,video_thruplay_watched_actions,6.13569282,"En curso","7 días tras clic o 1 día tras visualización",4684.838156,,1.371661,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",18-24,male,active,"Con el presupuesto del conjunto de anuncios",0,20011,4332,3229,8,,0,,3125,video_thruplay_watched_actions,6.4033641,"En curso","7 días tras clic o 1 día tras visualización",4619.231948,,1.341592,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",18-24,unknown,active,"Con el presupuesto del conjunto de anuncios",0,222,54,47,1,,0,,31,video_thruplay_watched_actions,7.16147385,"En curso","7 días tras clic o 1 día tras visualización",4111.216467,,1.148936,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",25-34,female,active,"Con el presupuesto del conjunto de anuncios",0,49280,10632,7709,33,,0,,8081,video_thruplay_watched_actions,6.0982877,"En curso","7 días tras clic o 1 día tras visualización",4635.088683,,1.379167,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",25-34,male,active,"Con el presupuesto del conjunto de anuncios",0,44086,10632,8054,22,2,0.024832,22043.064884,7030,video_thruplay_watched_actions,6.27114221,"En curso","7 días tras clic o 1 día tras visualización",4146.550956,,1.320089,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",25-34,unknown,active,"Con el presupuesto del conjunto de anuncios",0,783,179,122,0,,0,,107,video_thruplay_watched_actions,7.31794454,"En curso","7 días tras clic o 1 día tras visualización",4374.413776,,1.467213,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",35-44,female,active,"Con el presupuesto del conjunto de anuncios",0,58148,12576,8790,25,,0,,9607,video_thruplay_watched_actions,6.05272095,"En curso","7 días tras clic o 1 día tras visualización",4623.766709,,1.430717,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",35-44,male,active,"Con el presupuesto del conjunto de anuncios",0,47911,11713,8677,26,1,0.011525,47911.227792,7618,video_thruplay_watched_actions,6.28921341,"En curso","7 días tras clic o 1 día tras visualización",4090.43181,,1.349891,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",35-44,unknown,active,"Con el presupuesto del conjunto de anuncios",0,704,184,127,0,,0,,120,video_thruplay_watched_actions,5.86681701,"En curso","7 días tras clic o 1 día tras visualización",3826.185008,,1.448819,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",45-54,female,active,"Con el presupuesto del conjunto de anuncios",0,65463,13780,8517,31,,0,,10356,video_thruplay_watched_actions,6.3212319,"En curso","7 días tras clic o 1 día tras visualización",4750.557153,,1.617941,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",45-54,male,active,"Con el presupuesto del conjunto de anuncios",0,43651,10737,7257,25,2,0.02756,21825.55931,6855,video_thruplay_watched_actions,6.36777806,"En curso","7 días tras clic o 1 día tras visualización",4065.485575,,1.479537,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",45-54,unknown,active,"Con el presupuesto del conjunto de anuncios",0,800,186,102,0,,0,,116,video_thruplay_watched_actions,6.89672846,"En curso","7 días tras clic o 1 día tras visualización",4301.185493,,1.823529,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",55-64,female,active,"Con el presupuesto del conjunto de anuncios",0,88508,17479,9819,25,1,0.010184,88508.268148,13647,video_thruplay_watched_actions,6.4855476,"En curso","7 días tras clic o 1 día tras visualización",5063.691753,,1.78012,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",55-64,male,active,"Con el presupuesto del conjunto de anuncios",0,42228,10002,6801,16,2,0.029407,21114.041077,6441,video_thruplay_watched_actions,6.55613758,"En curso","7 días tras clic o 1 día tras visualización",4221.963823,,1.470666,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",55-64,unknown,active,"Con el presupuesto del conjunto de anuncios",0,601,111,53,0,,0,,81,video_thruplay_watched_actions,7.41994323,"En curso","7 días tras clic o 1 día tras visualización",5414.55317,,2.09434,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",65+,female,active,"Con el presupuesto del conjunto de anuncios",0,67008,13399,7515,32,,0,,10180,video_thruplay_watched_actions,6.58229049,"En curso","7 días tras clic o 1 día tras visualización",5000.949113,,1.782967,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",65+,male,active,"Con el presupuesto del conjunto de anuncios",0,30128,7856,5444,25,1,0.018369,30127.772066,4565,video_thruplay_watched_actions,6.59973101,"En curso","7 días tras clic o 1 día tras visualización",3835.001536,,1.443057,
2025-11-01,2026-03-20,"F1 - RECON - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 24/09/25",65+,unknown,active,"Con el presupuesto del conjunto de anuncios",0,541,127,61,0,,0,,83,video_thruplay_watched_actions,6.51823933,"En curso","7 días tras clic o 1 día tras visualización",4259.951687,,2.081967,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",18-24,female,inactive,"Con el presupuesto del conjunto de anuncios",0,23117,4859,3136,119,119,3.667092,194.260325,121,profile_visit_view,191.0494109,"En curso","7 días tras clic o 1 día tras visualización",4757.558905,,1.549426,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",18-24,male,inactive,"Con el presupuesto del conjunto de anuncios",0,14396,3206,2193,69,65,2.872777,221.470915,65,profile_visit_view,221.47091502,"En curso","7 días tras clic o 1 día tras visualización",4490.20882,,1.461924,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",18-24,unknown,inactive,"Con el presupuesto del conjunto de anuncios",0,428,106,69,0,,0,,,,,"En curso","7 días tras clic o 1 día tras visualización",4037.906805,,1.536232,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",25-34,female,inactive,"Con el presupuesto del conjunto de anuncios",0,68585,10291,7331,322,320,4.201337,214.327824,321,profile_visit_view,213.66013621,"En curso","7 días tras clic o 1 día tras visualización",6664.551912,,1.403765,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",25-34,male,inactive,"Con el presupuesto del conjunto de anuncios",0,49094,8744,6040,231,216,3.476821,227.287401,216,profile_visit_view,227.28740059,"En curso","7 días tras clic o 1 día tras visualización",5614.601844,,1.447682,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",25-34,unknown,inactive,"Con el presupuesto del conjunto de anuncios",0,1169,153,107,1,1,0.934579,1169.049495,1,profile_visit_view,1169.0494948,"En curso","7 días tras clic o 1 día tras visualización",7640.846371,,1.429907,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",35-44,female,inactive,"Con el presupuesto del conjunto de anuncios",0,54784,5745,4260,236,229,5.211268,239.232836,228,profile_visit_view,240.2821028,"En curso","7 días tras clic o 1 día tras visualización",9535.999902,,1.348592,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",35-44,male,inactive,"Con el presupuesto del conjunto de anuncios",0,35486,4351,3116,178,145,4.460847,244.727603,144,profile_visit_view,246.42709981,"En curso","7 días tras clic o 1 día tras visualización",8155.711876,,1.396341,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",35-44,unknown,inactive,"Con el presupuesto del conjunto de anuncios",0,1409,152,101,4,4,3.960396,352.264914,4,profile_visit_view,352.26491407,"En curso","7 días tras clic o 1 día tras visualización",9270.129318,,1.504951,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",45-54,female,inactive,"Con el presupuesto del conjunto de anuncios",0,34900,2918,2153,139,129,5.898746,270.546338,128,profile_visit_view,272.65998128,"En curso","7 días tras clic o 1 día tras visualización",11960.410419,,1.355318,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",45-54,male,inactive,"Con el presupuesto del conjunto de anuncios",0,15548,1515,1086,85,44,4.051565,353.355869,48,profile_visit_view,323.9095469,"En curso","7 días tras clic o 1 día tras visualización",10262.480694,,1.395028,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",45-54,unknown,inactive,"Con el presupuesto del conjunto de anuncios",0,769,83,61,4,4,6.557377,192.25814,4,profile_visit_view,192.25813976,"En curso","7 días tras clic o 1 día tras visualización",9265.452518,,1.360656,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",55-64,female,inactive,"Con el presupuesto del conjunto de anuncios",0,14489,1139,834,90,82,9.232614,176.690407,80,profile_visit_view,181.10766767,"En curso","7 días tras clic o 1 día tras visualización",12720.468318,,1.365707,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",55-64,male,inactive,"Con el presupuesto del conjunto de anuncios",0,5743,612,435,51,23,4.827586,249.706224,25,profile_visit_view,229.72972622,"En curso","7 días tras clic o 1 día tras visualización",9384.384241,,1.406897,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",55-64,unknown,inactive,"Con el presupuesto del conjunto de anuncios",0,352,39,26,1,1,3.846154,352.014903,1,profile_visit_view,352.01490348,"En curso","7 días tras clic o 1 día tras visualización",9026.023166,,1.5,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",65+,female,inactive,"Con el presupuesto del conjunto de anuncios",0,6643,574,412,42,34,7.281553,195.390625,35,profile_visit_view,189.80803602,"En curso","7 días tras clic o 1 día tras visualización",11573.660733,,1.393204,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",65+,male,inactive,"Con el presupuesto del conjunto de anuncios",0,3573,377,280,27,13,4.642857,274.857791,12,profile_visit_view,297.76260657,"En curso","7 días tras clic o 1 día tras visualización",9477.854851,,1.346429,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",65+,unknown,inactive,"Con el presupuesto del conjunto de anuncios",0,186,14,12,2,2,16.666667,93.003938,2,profile_visit_view,93.00393757,"En curso","7 días tras clic o 1 día tras visualización",13286.276795,,1.166667,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EVENTOS GRUPO EFFI  - VIDEOS - 08/10/25",Unknown,female,inactive,"Con el presupuesto del conjunto de anuncios",0,4,1,1,0,,0,,,,,"En curso","7 días tras clic o 1 día tras visualización",4000.169358,,1,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",18-24,female,active,10000,Diario,89363,20980,9550,617,627,6.041885,142.525218,619,profile_visit_view,144.36722454,"En curso","7 días tras clic o 1 día tras visualización",4259.45243,,2.196859,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",18-24,male,active,10000,Diario,13122,4065,2249,121,124,5.024455,105.823175,121,profile_visit_view,108.44689,"En curso","7 días tras clic o 1 día tras visualización",3228.062408,,1.80747,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",18-24,unknown,active,10000,Diario,837,236,116,9,9,7.758621,93.00761,9,profile_visit_view,93.00761018,"En curso","7 días tras clic o 1 día tras visualización",3546.900388,,2.034483,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",25-34,female,active,10000,Diario,615747,107725,41087,3040,3088,6.736924,199.400059,3078,profile_visit_view,200.04788252,"En curso","7 días tras clic o 1 día tras visualización",5715.919075,,2.621876,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",25-34,male,active,10000,Diario,55468,14264,7437,499,506,6.131505,109.619641,501,profile_visit_view,110.71364976,"En curso","7 días tras clic o 1 día tras visualización",3888.638428,,1.917978,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",25-34,unknown,active,10000,Diario,3290,566,286,19,20,6.293706,164.513461,19,profile_visit_view,173.17206422,"En curso","7 días tras clic o 1 día tras visualización",5813.196502,,1.979021,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",35-44,female,active,10000,Diario,840677,108147,41038,3638,3710,7.846386,226.597517,3685,profile_visit_view,228.13481325,"En curso","7 días tras clic o 1 día tras visualización",7773.463775,,2.635289,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",35-44,male,active,10000,Diario,57525,11365,5927,483,497,7.356167,115.743877,486,profile_visit_view,118.36359435,"En curso","7 días tras clic o 1 día tras visualización",5061.566815,,1.917496,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",35-44,unknown,active,10000,Diario,11070,1640,607,48,53,7.578254,208.866147,51,profile_visit_view,217.05697598,"En curso","7 días tras clic o 1 día tras visualización",6749.942546,,2.701812,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",45-54,female,active,10000,Diario,323782,33430,13185,1553,1597,10.15548,202.744203,1556,profile_visit_view,208.08643503,"En curso","7 días tras clic o 1 día tras visualización",9685.387165,,2.535457,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",45-54,male,active,10000,Diario,28608,4878,2632,238,236,7.864742,121.221783,229,profile_visit_view,124.92725251,"En curso","7 días tras clic o 1 día tras visualización",5864.768517,,1.853343,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",45-54,unknown,active,10000,Diario,7319,854,391,31,32,7.41688,228.706213,32,profile_visit_view,228.70621347,"En curso","7 días tras clic o 1 día tras visualización",8569.787858,,2.184143,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",55-64,female,active,10000,Diario,51583,4603,2028,272,284,11.094675,181.631059,272,profile_visit_view,189.64419376,"En curso","7 días tras clic o 1 día tras visualización",11206.435086,,2.269724,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",55-64,male,active,10000,Diario,6503,975,508,69,67,11.614173,97.052717,67,profile_visit_view,97.05271728,"En curso","7 días tras clic o 1 día tras visualización",6669.263649,,1.919291,
2025-11-01,2026-03-20,"F1 - TRÁFICO IG - ENGANCHE - EFFI WOMAN  - VIDEOS - 21/10/25",55-64,unknown,active,10000,Diario,897,131,50,8,7,12,128.153343,7,profile_visit_view,128.15334306,"En curso","7 días tras clic o 1 día tras visualización",6847.88856,,2.62,
