"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (COP)",Impresiones,Alcance,"Clics (todos)","Clics en el enlace","CTR único (porcentaje de clics en el enlace)","CPC (costo por clic en el enlace) (COP)",Resultados,"Indicador de resultado","Costo por resultados",Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","CPM (costo por mil impresiones) (COP)","ROAS (retorno de la inversión en publicidad) de compras",Frecuencia,Compras
2025-11-01,2026-03-20,"juan - el software effi",inactive,7000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2026-01-09T16:06:35-0500,-,-,-,"PROMT DIRECTO",0,,0,
2025-11-01,2026-03-20,"carlos ey usted",inactive,7000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2026-01-09T16:06:35-0500,-,-,-,"PROMT DIRECTO",0,,0,
2025-11-01,2026-03-20,"Entrevista 7",active,4200,Diario,132822,28396,23104,64,2,0.008657,66411,21001,video_thruplay_watched_actions,6.32455597,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-05T01:03:38-0500,"Por debajo del promedio - 35% de los anuncios menos relevantes","Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"GRUPO EFFI - ADVTG - ABIERTO - Copia",4677.489787,,1.229051,
2025-11-01,2026-03-20,"Entrevista 6",active,4200,Diario,21918,4893,4147,5,,0,,3667,video_thruplay_watched_actions,5.97709299,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-05T01:03:38-0500,-,-,-,"GRUPO EFFI - ADVTG - ABIERTO - Copia",4479.460454,,1.179889,
2025-11-01,2026-03-20,"Entrevista 1",active,4200,Diario,29061,7210,6585,17,,0,,4757,video_thruplay_watched_actions,6.10910238,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-05T01:03:38-0500,-,-,-,"GRUPO EFFI - ADVTG - ABIERTO - Copia",4030.651872,,1.094913,
2025-11-01,2026-03-20,"Entrevista 8",active,4200,Diario,401557,88878,55341,198,7,0.012649,57365.285714,62735,video_thruplay_watched_actions,6.40084482,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-03-05T01:03:38-0500,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"GRUPO EFFI - ADVTG - ABIERTO - Copia",4518.069714,,1.606006,
2025-11-01,2026-03-20,"IMG 1",not_delivering,45000,Diario,0,0,0,0,,0,,,,,"En curso",-,0,ABSOLUTE_OCPM,2025-10-06T16:52:09-0500,-,-,-,"GRUPO EFFI - ADVTG - PROMPT DIRECTO - IMG",0,,0,
2025-11-01,2026-03-20,"VID dif - Copia",inactive,20000,Diario,1618,120,112,4,1,0.892857,1618,1,actions:onsite_conversion.messaging_conversation_started_7d,1618,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-11T21:49:18-0500,-,-,-,"ADVTG - DIRECTO",13483.333333,,1.071429,
2025-11-01,2026-03-20,"VID 1 - Copia",inactive,20000,Diario,122659,9574,6898,224,66,0.927805,1858.469697,32,actions:onsite_conversion.messaging_conversation_started_7d,3833.09375,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-11T21:49:18-0500,-,-,-,"ADVTG - DIRECTO",12811.67746,,1.387939,
2025-11-01,2026-03-20,"VID 3 - Copia",not_delivering,20000,Diario,780665,28084,21220,742,264,1.215834,2957.064394,135,actions:onsite_conversion.messaging_conversation_started_7d,5782.7037037,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-11T21:49:18-0500,-,-,-,"ADVTG - DIRECTO",27797.500356,,1.323468,
